id time x y th
1 0.5 0 0 0 
2 1 0 0 0 
3 1.5 0 0 0 
4 2 0 0 0 
5 2.5 0 0 0 
6 3 0 0 0 
7 3.5 0 0 0 
8 4 0 0 0 
9 4.5 0 0 0 
10 5 0 0 0 
11 5.5 0 0 0 
12 6 0 0 0 
13 6.5 0 0 0 
14 7 0 0 0 
15 7.5 0 0 0 
16 8 0 0 0 
17 8.5 0 0 0 
18 9 0 0 0 
19 9.5 0 0 0 
20 10 0 0 0 
21 10.5 0 0 0 
22 11 0 0 0 
23 11.5 0 0 0 
24 12 0 0 0 
25 12.5 0 0 0 
26 13 0 0 0 
27 13.5 0 0 0 
28 14 0 0 0 
29 14.5 0 0 0 
30 15 0 0 0 
31 15.5 0 0 0 
32 16 0 0 0 
33 16.5 0 0 0 
34 17 0 0 0 
35 17.5 0 0 0 
36 18 0 0 0 
37 18.5 0 0 0 
38 19 0 0 0 
39 19.5 0 0 0 
40 20 0 0 0 
41 20.5 0 0 0 
42 21 0 0 0 
43 21.5 0 0 0 
44 22 0 0 0 
45 22.5 0 0 0 
46 23 0 0 0 
47 23.5 0 0 0 
48 24 0 0 0 
49 24.5 0 0 0 
50 25 0 0 0 
51 25.5 0 0 0 
52 26 0 0 0 
53 26.5 0 0 0 
54 27 0 0 0 
55 27.5 0 0 0 
56 28 0 0 0 
57 28.5 0 0 0 
58 29 0 0 0 
59 29.5 0 0 0 
60 30 0 0 0 
61 30.5 0 0 0 
62 31 0 0 0 
63 31.5 0 0 0 
64 32 0 0 0 
65 32.5 0 0 0 
66 33 0 0 0 
67 33.5 0 0 0 
68 34 0 0 0 
69 34.5 0 0 0 
70 35 0 0 0 
71 35.5 0 0 0 
72 36 0 0 0 
73 36.5 0 0 0 
74 37 0 0 0 
75 37.5 0 0 0 
76 38 0 0 0 
77 38.5 0 0 0 
78 39 0 0 0 
79 39.5 0 0 0 
80 40 0 0 0 
81 40.5 0 0 0 
82 41 0 0 0 
83 41.5 0 0 0 
84 42 0 0 0 
85 42.5 0 0 0 
86 43 0 0 0 
87 43.5 0 0 0 
88 44 0 0 0 
89 44.5 0 0 0 
90 45 0 0 0 
91 45.5 0 0 0 
92 46 0 0 0 
93 46.5 0 0 0 
94 47 0 0 0 
95 47.5 0 0 0 
96 48 0 0 0 
97 48.5 0 0 0 
98 49 0 0 0 
99 49.5 0 0 0 
100 50 0 0 0 
101 50.5 0 0 0 
102 51 0 0 0 
103 51.5 0 0 0 
104 52 0 0 0 
105 52.5 0 0 0 
106 53 0 0 0 
107 53.5 0 0 0 
108 54 0 0 0 
109 54.5 0 0 0 
110 55 0 0 0 
111 55.5 0 0 0 
112 56 0 0 0 
113 56.5 0 0 0 
114 57 0 0 0 
115 57.5 0 0 0 
116 58 0 0 0 
117 58.5 0 0 0 
118 59 0 0 0 
119 59.5 0 0 0 
120 60 0 0 0 
121 60.5 0 0 0 
122 61 0 0 0 
123 61.5 0 0 0 
124 62 0 0 0 
125 62.5 0 0 0 
126 63 0 0 0 
127 63.5 0 0 0 
128 64 0 0 0 
129 64.5 0 0 0 
130 65 0 0 0 
131 65.5 0 0 0 
132 66 0 0 0 
133 66.5 0 0 0 
134 67 0 0 0 
135 67.5 0 0 0 
136 68 0 0 0 
